187,612;Urząd Skarbowy;Bolesławiec;59-700;Garncarska 10;20101016740004332221000000;67101016740004332222000000;17101016740004332223000000;11101016740004332227000000
457,881;Urząd Skarbowy;Bystrzyca Kłodzka;57-500;Adama Mickiewicza 5;98101016740023782221000000;48101016740023782222000000;95101016740023782223000000;89101016740023782227000000
458,882;Urząd Skarbowy;Dzierżoniów;58-200;Pocztowa 14;88101016740008952221000000;38101016740008952222000000;85101016740008952223000000;79101016740008952227000000
273,693;Urząd Skarbowy;Głogów;67-200;Adama Mickiewicza 53;09101016740006352221000000;56101016740006352222000000;06101016740006352223000000;97101016740006352227000000
274,695;Urząd Skarbowy;Jawor;59-400;Jurija Gagarina 5;54101016740006642221000000;04101016740006642222000000;51101016740006642223000000;45101016740006642227000000
6;Urząd Skarbowy;Jelenia Góra;58-500;Wolności 121;06101016740008402221000000;53101016740008402222000000;03101016740008402223000000;94101016740008402227000000
7;Urząd Skarbowy;Kamienna Góra;58-400;Papieża Jana Pawła II 18;13101016740004912221000000;60101016740004912222000000;10101016740004912223000000;04101016740004912227000000
8;Urząd Skarbowy;Kłodzko;57-300;Stanisławy Walasiewiczówny 1;66101016740020752221000000;16101016740020752222000000;63101016740020752223000000;57101016740020752227000000
9;Urząd Skarbowy;Legnica;59-220;Najświętszej Marii Panny 3;15101016740032322221000000;62101016740032322222000000;12101016740032322223000000;06101016740032322227000000
10;Urząd Skarbowy;Lubań;59-800;Stara 1;28101016740008242221000000;75101016740008242222000000;25101016740008242223000000;19101016740008242227000000
11;Urząd Skarbowy;Lubin;59-300;Marii Skłodowskiej-Curie 94;36101016740020882221000000;83101016740020882222000000;33101016740020882223000000;27101016740020882227000000
12;Urząd Skarbowy;Lwówek Śląski;59-600;Budowlanych 1;04101016740013972221000000;51101016740013972222000000;98101016740013972223000000;92101016740013972227000000
13;Urząd Skarbowy;Milicz;56-300;Składowa 2;02101016740006932221000000;49101016740006932222000000;96101016740006932223000000;90101016740006932227000000
14;Urząd Skarbowy;Nowa Ruda;57-400;Kolejowa 23;89101016740024112221000000;39101016740024112222000000;86101016740024112223000000;80101016740024112227000000
15;Urząd Skarbowy;Oleśnica;56-400;Lwowska 34-38;25101016740098562221000000;72101016740098562222000000;22101016740098562223000000;16101016740098562227000000
16;Urząd Skarbowy;Oława;55-200;Lwowska 1;48101016740039842221000000;95101016740039842222000000;45101016740039842223000000;39101016740039842227000000
17;Urząd Skarbowy;Strzelin;57-100;Bolka I Świdnickiego 14;21101016740008822221000000;68101016740008822222000000;18101016740008822223000000;12101016740008822227000000
18;Urząd Skarbowy;Środa Śląska;55-300;Oławska 5A;61101016740044862221000000;11101016740044862222000000;58101016740044862223000000;52101016740044862227000000
19;Urząd Skarbowy;Świdnica;58-100;Marii Skłodowskiej-Curie 1-3;43101016740054252221000000;90101016740054252222000000;40101016740054252223000000;
20;Urząd Skarbowy;Trzebnica;55-100;Prusicka 2;44101016740045162221000000;91101016740045162222000000;41101016740045162223000000;35101016740045162227000000
21;Urząd Skarbowy;Wałbrzych;58-306;Uczniowska 21;58101016740046912221000000;08101016740046912222000000;55101016740046912223000000;49101016740046912227000000
22;Urząd Skarbowy;Wołów;56-100;Tadeusza Kościuszki 17;83101016740057312221000000;33101016740057312222000000;80101016740057312223000000;74101016740057312227000000
23;Urząd Skarbowy Wrocław-Fabryczna;Wrocław;53-238;Aleksandra Ostrowskiego 5;02101016740014692221000000;49101016740014692222000000;96101016740014692223000000;90101016740014692227000000
24;Urząd Skarbowy Wrocław-Krzyki;Wrocław;53-310;Sztabowa 100;77101016740014852221000000;27101016740014852222000000;74101016740014852223000000;68101016740014852227000000
25;Urząd Skarbowy Wrocław-Psie Pole;Wrocław;50-231;Trzebnicka 33;27101016740017332221000000;74101016740017332222000000;24101016740017332223000000;18101016740017332227000000
26;Urząd Skarbowy Wrocław-Stare Miasto;Wrocław;53-654;Inowrocławska 4;61101016740006062221000000;11101016740006062222000000;58101016740006062223000000;52101016740006062227000000
27;Pierwszy Urząd Skarbowy;Wrocław;50-515;Księdza Czesława Klimasa 34;04101016740000392221000000;51101016740000392222000000;98101016740000392223000000;92101016740000392227000000
28;Urząd Skarbowy Wrocław-Śródmieście;Wrocław;50-044;Marszałka Józefa Piłsudskiego 27/29;41101016740005502221000000;88101016740005502222000000;38101016740005502223000000;32101016740005502227000000
29;Urząd Skarbowy;Ząbkowice Śląskie;57-200;Ludwika Waryńskiego 2A;88101016740020592221000000;38101016740020592222000000;85101016740020592223000000;79101016740020592227000000
30;Urząd Skarbowy;Zgorzelec;59-900;Bohaterów II Armii Wojska Polskiego 8B;43101016740012542221000000;90101016740012542222000000;40101016740012542223000000;34101016740012542227000000
31;Urząd Skarbowy;Złotoryja;59-500;Rynek 42;19101016740021182221000000;66101016740021182222000000;16101016740021182223000000;10101016740021182227000000
32;Urząd Skarbowy;Aleksandrów Kujawski;87-700;Kościelna 18;51101010780024112221000000;98101010780024112222000000;48101010780024112223000000;42101010780024112227000000
33;Urząd Skarbowy;Brodnica;87-300;Generała Władysława Sikorskiego 19;58101010780016742221000000;08101010780016742222000000;55101010780016742223000000;49101010780016742227000000
34;Pierwszy Urząd Skarbowy;Bydgoszcz;85-950;Fordońska 77;93101010780000262221000000;43101010780000262222000000;90101010780000262223000000;84101010780000262227000000
35;Drugi Urząd Skarbowy;Bydgoszcz;85-822;Wojska Polskiego 20B;42101010780050632221000000;89101010780050632222000000;39101010780050632223000000;33101010780050632227000000
36;Trzeci Urząd Skarbowy;Bydgoszcz;85-032;Tadeusza Rejtana 5;09101010780060572221000000;56101010780060572222000000;06101010780060572223000000;97101010780060572227000000
37;Urząd Skarbowy;Chełmno;86-200;Grudziądzka 6;28101010780016872221000000;75101010780016872222000000;25101010780016872223000000;19101010780016872227000000
38;Urząd Skarbowy;Golub-Dobrzyń;87-400;Dr J.G. Koppa 1A;89101010780053112221000000;39101010780053112222000000;86101010780053112223000000;80101010780053112227000000
39;Urząd Skarbowy;Grudziądz;86-300;Droga Łąkowa 23;70101010780026002221000000;20101010780026002222000000;67101010780026002223000000;61101010780026002227000000
40;Urząd Skarbowy;Inowrocław;88-100;al. Niepodległości 5;03101010780089892221000000;50101010780089892222000000;97101010780089892223000000;91101010780089892227000000
41;Urząd Skarbowy;Lipno;87-600;Stanisława Staszica 4;21101010780024242221000000;68101010780024242222000000;18101010780024242223000000;12101010780024242227000000
42;Urząd Skarbowy;Mogilno;88-300;900-lecia 20;98101010780090612221000000;48101010780090612222000000;95101010780090612223000000;89101010780090612227000000
43;Urząd Skarbowy;Nakło n. Notecią;89-100;Sądowa 8;14101010780007362221000000;61101010780007362222000000;11101010780007362223000000;05101010780007362227000000
44;Urząd Skarbowy;Radziejów;88-200;Rolnicza 6;96101010780024402221000000;46101010780024402222000000;93101010780024402223000000;87101010780024402227000000
45;Urząd Skarbowy;Rypin;87-500;Dojazdowa 10;94101010780046462221000000;44101010780046462222000000;91101010780046462223000000;85101010780046462227000000
46;Urząd Skarbowy;Sępólno Krajeńskie;89-400;Tadeusza Kościuszki 22;71101010780055712221000000;21101010780055712222000000;68101010780055712223000000;62101010780055712227000000
47;Urząd Skarbowy;Świecie;86-100;10 Lutego 16;35101010780008532221000000;82101010780008532222000000;32101010780008532223000000;26101010780008532227000000
48;Pierwszy Urząd Skarbowy;Toruń;87-100;Szosa Chełmińska 34/36;17101010780039262221000000;64101010780039262222000000;14101010780039262223000000;08101010780039262227000000
49;Drugi Urząd Skarbowy;Toruń;87-100;Mazowiecka 63/65;85101010780026422221000000;35101010780026422222000000;82101010780026422223000000;76101010780026422227000000
50;Urząd Skarbowy;Tuchola;89-500;Plac Zamkowy 4;93101010780009962221000000;43101010780009962222000000;90101010780009962223000000;84101010780009962227000000
51;Urząd Skarbowy;Wąbrzeźno;87-200;Macieja Rataja 2;36101010780016902221000000;83101010780016902222000000;33101010780016902223000000;27101010780016902227000000
52;Urząd Skarbowy;Włocławek;87-800;Stefana Okrzei 72B;88101010780024372221000000;38101010780024372222000000;85101010780024372223000000;79101010780024372227000000
53;Urząd Skarbowy;Żnin;88-400;Klemensa Janickiego 18;40101010780026132221000000;87101010780026132222000000;37101010780026132223000000;31101010780026132227000000
54;Urząd Skarbowy;Biała Podlaska;21-500;Prosta 19;71101013390015312221000000;21101013390015312222000000;68101013390015312223000000;62101013390015312227000000
55;Urząd Skarbowy;Biłgoraj;23-400;Tadeusza Kościuszki 78;55101013390224772221000000;05101013390224772222000000;52101013390224772223000000;46101013390224772227000000
56;Urząd Skarbowy;Chełm;22-100;Obłońska 20A;88101013390137232221000000;38101013390137232222000000;85101013390137232223000000;79101013390137232227000000
57;Urząd Skarbowy;Hrubieszów;22-500;27 Wołyńskiej Dywizji Piechoty AK 11;29101013390239952221000000;76101013390239952222000000;26101013390239952223000000;20101013390239952227000000
58;Urząd Skarbowy;Janów Lubelski;23-300;Wojska Polskiego 32;21101013390001302221000000;68101013390001302222000000;18101013390001302223000000;12101013390001302227000000
59;Urząd Skarbowy;Krasnystaw;22-300;Rzeczna 5;27101013390019512221000000;74101013390019512222000000;24101013390019512223000000;18101013390019512227000000
60;Urząd Skarbowy;Kraśnik;23-200;Tadeusza Kościuszki 5;30101013390021342221000000;77101013390021342222000000;27101013390021342223000000;21101013390021342227000000
61;Urząd Skarbowy;Lubartów;21-100;Legionów 55;16101013390110772221000000;63101013390110772222000000;13101013390110772223000000;07101013390110772227000000
62;Pierwszy Urząd Skarbowy;Lublin;20-027;Sądowa 5;37101013390000392221000000;84101013390000392222000000;34101013390000392223000000;28101013390000392227000000
63;Drugi Urząd Skarbowy;Lublin;20-883;Tadeusza Szeligowskiego 24;40101013390091462221000000;87101013390091462222000000;37101013390091462223000000;31101013390091462227000000
64;Trzeci Urząd Skarbowy;Lublin;20-016;Prezydenta Gabriela Narutowicza 56;15101013390000552221000000;62101013390000552222000000;12101013390000552223000000;06101013390000552227000000
65;Urząd Skarbowy;Łuków;21-400;Międzyrzecka 72A;88101013390001432221000000;38101013390001432222000000;85101013390001432223000000;79101013390001432227000000
66;Urząd Skarbowy;Opole Lubelskie;24-300;Józefa Piłsudskiego 12;60101013390021212221000000;10101013390021212222000000;57101013390021212223000000;51101013390021212227000000
67;Urząd Skarbowy;Parczew;21-200;Żabia 2A;64101013390057602221000000;14101013390057602222000000;61101013390057602223000000;55101013390057602227000000
68;Urząd Skarbowy;Puławy;24-100;Władysława Grabskiego 4;24101013390020592221000000;71101013390020592222000000;21101013390020592223000000;15101013390020592227000000
69;Urząd Skarbowy;Radzyń Podlaski;21-300;Lubelska 1;33101013390053242221000000;80101013390053242222000000;30101013390053242223000000;24101013390053242227000000
70;Urząd Skarbowy;Tomaszów Lubelski;22-600;Rolnicza 17;98101013390221902221000000;48101013390221902222000000;95101013390221902223000000;89101013390221902227000000
71;Urząd Skarbowy;Włodawa;22-200;Rynek 9;23101013390004462221000000;70101013390004462222000000;20101013390004462223000000;14101013390004462227000000
72;Urząd Skarbowy;Zamość;22-400;Jana Kilińskiego 82;79101013390061902221000000;29101013390061902222000000;76101013390061902223000000;70101013390061902227000000
73;Urząd Skarbowy;Drezdenko;66-530;Pierwszej Brygady 21;68101017040059462221000000;18101017040059462222000000;65101017040059462223000000;59101017040059462227000000
